Name,x,y
warwas1,-0.15,2.95
arnold1,-2.25,0.6
arnold2,-1,0.85
migura1,0,1
drapalla,1.05,1.15
hawn1,2,0.4
brandt1,1.1,-0.1
brandt2,1.3,-1.4
brandt3,2.6,-1.55
bettge2,0.3,-1.1
bettge1,-1.1,-0.95
bettge3,-2.3,-0.3
bettge4,-2.15,-1.65
bettge6,-0.35,0
adickes_bettge1,-0.5,-1.8
bettge5,-3.25,-1
dry_hole,-3.2,3.15
dry_hole,1.6,2.2
dry_hole,2.75,2.5
dry_hole,-3.25,-1
dry_hole,3,-1.25
upper_fault,3.35,3.95
upper_fault,-0.15,5.95
upper_fault,-4.2,5.5
gas_well,-0.15,2.95
gas_well,-0.149,2.94
lower_fault,-4.7,-1.3
lower_fault,-3.2,-1.6
lower_fault,-2.15,-2.1
lower_fault,-0.5,-2.25
lower_fault,1.3,-1.9
lower_fault,3,-2
lower_fault,4,-1.9