Depth,GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7943.5,102.8508948,-7.800678744,4.152621497,3.177428079,3.103594626,0.050749553,0.293777835
7944,102.682906,-7.296682694,4.143722615,3.30385222,3.210411917,0.052488,0.289473535
7944.5,105.6189633,-6.867149712,4.056171423,3.496329351,3.371558247,0.054467436,0.289063672
7945,109.2216607,-6.526072755,4.084872425,3.712720934,3.564909718,0.053292944,0.288669543
7945.5,111.0535917,-6.287444781,4.426846727,3.885362205,3.74025347,0.044657047,0.287652453
7946,108.677843,-6.165258746,4.836563136,3.935509228,3.837934423,0.031889684,0.287502628
7946.5,101.7233086,-6.17350761,5.106856245,3.814856219,3.827899514,0.020445078,0.289747548
7947,95.70236766,-6.326184328,5.431886591,3.597796505,3.740759222,0.01333603,0.29584798
7947.5,93.46878862,-6.637281858,5.803445147,3.380613643,3.615458404,0.012072487,0.306175968
7948,95.8346714,-7.091232297,5.736811499,3.229083417,3.488031138,0.017995467,0.320216636
7948.5,100.6472634,-7.333239771,4.797313296,3.119498844,3.380257848,0.029391612,0.337382211
7949,105.1463487,-7.096093018,3.460203398,3.01388443,3.30209467,0.041672909,0.35497013
7949.5,106.584045,-6.570523021,3.359160699,2.942504492,3.26027416,0.051404032,0.367353525
7950,103.954864,-5.984716001,3.934970162,2.947870635,3.252415336,0.057717384,0.369085658
7950.5,99.78089291,-5.52685463,4.402955588,3.024650289,3.274069496,0.060763616,0.360025758
7951,96.68852423,-5.20350515,4.456912592,3.142016826,3.316432173,0.061591834,0.343832609
7951.5,95.06806087,-4.969719406,4.355785135,3.26628219,3.368365235,0.061308544,0.324247597
7952,94.36058628,-4.783455254,4.26948324,3.361741085,3.422410329,0.061013435,0.305082434
7952.5,94.02208826,-4.65321656,4.219211328,3.429994629,3.478617167,0.061380456,0.290104551
7953,93.60763259,-4.630348147,4.215257548,3.49071784,3.538024052,0.062413863,0.280002022
7953.5,92.70556221,-4.767550027,4.25341802,3.549244615,3.601751922,0.064059183,0.273583007
7954,91.20888104,-5.113184143,4.325717962,3.610104744,3.671004915,0.06627915,0.269630197
7954.5,90.87891592,-5.658416066,4.424469604,3.678755192,3.747068407,0.069080357,0.26692628
7955,90.85634544,-6.354020739,4.541080327,3.764175021,3.830030418,0.072476283,0.264253949
7955.5,89.13156504,-7.149668721,4.665880068,3.877282818,3.917725755,0.076480409,0.26057044
7956,85.75655934,-7.942239417,4.788127,4.029541549,4.007560805,0.081105386,0.256008922
7956.5,84.04270974,-8.511497593,4.895947763,4.204802966,4.09669435,0.086022265,0.251188058
7957,85.00717318,-8.658212985,4.978001208,4.351025346,4.181992527,0.090035399,0.246728045
7957.5,86.62655851,-8.433502588,5.027324379,4.412259054,4.25944806,0.091856564,0.243243999
7958,87.02383519,-7.99288446,5.038267445,4.386579764,4.324310998,0.091626933,0.240991965
7958.5,86.41351764,-7.492223209,5.008669063,4.312295623,4.371654047,0.091144254,0.239637544
7959,85.28278059,-7.085426293,4.95077677,4.228588875,4.39676269,0.091252683,0.238791368
7959.5,84.77729646,-6.843581094,4.881069466,4.170936284,4.399965583,0.091938711,0.238115876
7960,85.19877253,-6.726121208,4.815353128,4.149272182,4.386674295,0.092635865,0.237828534
7960.5,85.29665935,-6.684594535,4.768630523,4.153461275,4.362667127,0.092538625,0.238483662
7961,85.4982976,-6.670538792,4.754606057,4.173281863,4.333712163,0.09084322,0.240450146
7961.5,86.43977749,-6.633312494,4.772152145,4.198595345,4.305312895,0.087606628,0.243264394
7962,88.01212946,-6.51740189,4.807657938,4.219915433,4.281657853,0.084923148,0.246235087
7962.5,89.54013772,-6.266632398,4.847470391,4.233035344,4.266302953,0.083975374,0.248670898
7963,90.37218868,-5.824829435,4.894255671,4.235939135,4.262785729,0.08421977,0.249900391
7963.5,90.84925361,-5.136258678,4.963434308,4.226677181,4.274549237,0.084981159,0.249907523
7964,90.01524612,-4.206993684,5.013856332,4.203412506,4.297820234,0.085584361,0.249465131
7964.5,88.44887574,-3.168037793,4.979317587,4.16559263,4.31858532,0.085419801,0.249392924
7965,90.04193143,-2.165454799,4.824994879,4.115959668,4.321841117,0.084314016,0.25043782
7965.5,93.42643954,-1.345308492,4.62854435,4.057799266,4.292683048,0.082271453,0.252813938
7966,95.49944899,-0.853662665,4.484043737,3.994300613,4.218563842,0.079298263,0.256498614
7966.5,95.14556572,-0.827654923,4.440781629,3.928504713,4.105475843,0.075617418,0.261467393
7967,92.23686387,-1.218677608,4.460929841,3.863099532,3.97072996,0.071920314,0.267460152
7967.5,89.3403793,-1.802633931,4.495768482,3.79913443,3.830459568,0.06895942,0.27364226
7968,89.27762699,-2.348554218,4.496806028,3.736865156,3.698884681,0.067487202,0.279093196
7968.5,91.8090218,-2.625475431,4.451329666,3.676524114,3.588358137,0.068256128,0.282892552
7969,94.76626695,-2.480631418,4.397517558,3.618340404,3.509718315,0.07187622,0.284475017
7969.5,96.4885797,-2.033842999,4.375965089,3.563229635,3.464709155,0.077837643,0.284419113
7970,96.92601452,-1.464290653,4.407278443,3.513089524,3.442827693,0.085101129,0.283533226
7970.5,96.47147451,-0.951074403,4.405655431,3.469802839,3.433352341,0.092558286,0.282625742
7971,96.05628075,-0.624264895,4.276242017,3.435181708,3.427242993,0.098087367,0.282311615
7971.5,96.73637883,-0.481723503,4.197055014,3.411027474,3.423227449,0.098803398,0.282416368
7972,98.06463031,-0.499250593,4.353407838,3.39924716,3.422789196,0.093832894,0.282564151
7972.5,98.02297064,-0.652646532,4.526471433,3.401863061,3.427423216,0.085578185,0.28245471
7973,97.7135155,-0.916557486,4.564511009,3.421070353,3.438651377,0.076738538,0.282311032
7973.5,98.31984699,-1.252917481,4.468668379,3.459017482,3.458048186,0.070001151,0.282577271
7974,99.0161219,-1.615782166,4.292981018,3.511679298,3.487273903,0.066734107,0.283472569
7974.5,98.4667198,-1.95908966,4.145401504,3.568809122,3.527502697,0.06581627,0.284547132
7975,96.69102271,-2.239628927,4.171431072,3.619301666,3.576467163,0.066024173,0.285227874
7975.5,94.03441203,-2.440197622,4.506156224,3.651456598,3.623174544,0.066832704,0.2849649
7976,91.78275386,-2.557509466,4.811551775,3.655083293,3.651402754,0.067892158,0.283816272
7976.5,91.4912741,-2.588409792,4.875763045,3.625127036,3.644625057,0.068857944,0.282492527
7977,92.8140453,-2.529860109,4.793906472,3.558304411,3.594995087,0.069624028,0.281736316
7977.5,94.17137964,-2.389912589,4.628756434,3.452861238,3.511608758,0.070419519,0.282290289
7978,94.8712948,-2.196723707,4.414587345,3.318248098,3.40572469,0.071497534,0.28474675
7978.5,95.67821528,-1.980571319,4.185387325,3.177478485,3.288075328,0.07286002,0.288983147
7979,97.11513415,-1.771733277,3.975415658,3.050179381,3.168370784,0.073941351,0.294664688
7979.5,98.95329571,-1.593312808,3.811655289,2.944596207,3.054818393,0.074249621,0.301371103
7980,101.1196347,-1.420143125,3.698186783,2.864496873,2.952905758,0.074048264,0.307960938
7980.5,102.8866323,-1.207152641,3.627311331,2.813558406,2.866842794,0.073810647,0.312930734
7981,101.3401379,-0.932639585,3.592949994,2.794465645,2.800421218,0.073715859,0.315193396
7981.5,98.98512783,-0.682812132,3.590346348,2.797436402,2.755990309,0.073750115,0.315207265
7982,97.81239935,-0.574921928,3.614269742,2.805817779,2.732144801,0.073896277,0.31378682
7982.5,97.48945577,-0.724910595,3.657096924,2.803598113,2.727199064,0.074113406,0.31174654
7983,97.79586769,-1.138899081,3.710852812,2.787141084,2.739885823,0.074274798,0.309900892
7983.5,98.75830522,-1.632024518,3.767228769,2.763184043,2.769274115,0.074234435,0.308887457
7984,99.17745107,-2.000409659,3.81742184,2.738656823,2.812198937,0.073846298,0.308722596
7984.5,99.00598085,-2.108011888,3.850641514,2.720053573,2.856761302,0.073879649,0.309286373
7985,99.18912112,-2.003001225,3.852405525,2.708209016,2.888458718,0.077582895,0.310460952
7985.5,100.2953281,-1.764519075,3.808325301,2.698145902,2.892360918,0.083509078,0.312202416
7986,102.2682928,-1.468845775,3.715691955,2.684741852,2.862169183,0.088883039,0.31455857
7986.5,103.9495367,-1.165389886,3.606845703,2.665770287,2.807172408,0.090467837,0.317340106
7987,104.3233705,-0.888841962,3.518427028,2.64344193,2.738286031,0.086104856,0.317853838
7987.5,106.0183186,-0.673741987,3.481600976,2.620295242,2.665811551,0.079549958,0.315424529
7988,105.8836463,-0.55162388,3.489095936,2.598786636,2.599117785,0.076215422,0.313984788
7988.5,103.6240982,-0.497991079,3.50255238,2.581294193,2.54647027,0.078466979,0.314040956
7989,102.3287329,-0.438756243,3.48355913,2.570046601,2.512601056,0.082723729,0.315044806
7989.5,102.9997422,-0.298186558,3.430456343,2.566106773,2.500022186,0.084717777,0.31644262
7990,104.0589557,-0.034165334,3.386577326,2.569820137,2.511613154,0.081581519,0.317640398
7990.5,105.4209101,0.307308844,3.396273657,2.581583488,2.550927026,0.075003971,0.318026239
7991,107.0225413,0.665975588,3.491379693,2.601080232,2.615339934,0.067639411,0.317181579
7991.5,107.5084955,0.984453865,3.638211594,2.626236768,2.685840016,0.062427201,0.315297626
7992,107.1591132,1.230530847,3.777409467,2.653817717,2.739169629,0.061602119,0.312685448
7992.5,106.8935955,1.384998204,3.843282262,2.679006424,2.761357465,0.064151371,0.309722675
7993,104.6279066,1.428756452,3.824680269,2.696672221,2.775706705,0.068266181,0.307134765
7993.5,103.8222307,1.342706105,3.772025631,2.703266804,2.809313705,0.072137778,0.305760425
7994,105.0149092,1.114042225,3.731288506,2.705811725,2.858642137,0.074001072,0.306438423
7994.5,106.9322745,0.780250703,3.717530856,2.715499647,2.907612206,0.073278051,0.309809146
7995,107.9499568,0.40292267,3.7321935,2.743735263,2.944445634,0.070859171,0.315206047
7995.5,107.8024982,0.043800822,3.758852341,2.797760391,2.97692041,0.068198746,0.321217115
7996,106.84499,-0.240921955,3.777294855,2.869883885,3.017446944,0.066656116,0.32560503
7996.5,105.6242989,-0.432309385,3.778227598,2.948703027,3.068012499,0.066398569,0.326334607
7997,104.7882843,-0.526758136,3.774791966,3.021607524,3.119795787,0.067121563,0.324665693
7997.5,104.4141405,-0.520723553,3.783579347,3.075773133,3.162934824,0.06851938,0.322008625
7998,103.3179067,-0.415216837,3.850571671,3.10895258,3.187338684,0.070286305,0.318841158
7998.5,101.6072972,-0.222774615,4.021647509,3.126260131,3.191573582,0.0721001,0.315366941
7999,99.7431325,0.04227168,4.236797431,3.133355409,3.185105875,0.073536227,0.311776536
7999.5,98.17061258,0.365323713,4.404956298,3.136077679,3.177826535,0.074131037,0.308260508
8000,97.31430153,0.693712056,4.424034906,3.138139615,3.17448401,0.073420804,0.305053283
8000.5,97.57731246,0.897497403,4.276759881,3.139316768,3.175832615,0.0709418,0.303375189
8001,98.87265387,0.837379499,4.060751456,3.138971355,3.182540176,0.066534211,0.305419871
8001.5,100.6064022,0.376287849,3.870679656,3.136810849,3.19663668,0.061838469,0.313129264
8002,102.1612303,-0.45891365,3.785745298,3.140401728,3.229630003,0.056766691,0.326175039
8002.5,102.9198832,-1.368219708,3.85720138,3.165263137,3.297842304,0.04342198,0.343043643
8003,102.4806995,-2.035412938,4.029147768,3.228055066,3.418259069,0.022417036,0.359307421
8003.5,101.1325105,-2.52699042,4.212724607,3.347783141,3.593417575,0.012697552,0.367616683
8004,99.26479268,-3.4108085,4.435159964,3.548442207,3.815450135,0.01502921,0.361857593
8004.5,96.06398987,-5.288656019,4.896095537,3.862106345,4.074784435,0.019443532,0.34757654
8005,89.28338737,-8.740915683,5.861669841,4.328072839,4.367157364,0.043266496,0.333465987
8005.5,76.5961371,-13.54421964,7.560457712,5.003679442,4.732428426,0.081560602,0.320673314
8006,58.26701395,-18.57769354,10.29594806,5.940275905,5.240446214,0.118773863,0.300795023
8006.5,41.70358483,-23.8027818,13.94245902,7.047335765,5.989971918,0.146889071,0.272617214
8007,33.42400459,-29.68861188,17.17545894,8.119996466,7.044870136,0.167421231,0.241717344
8007.5,31.86607727,-36.03794551,19.01580414,9.012920554,8.382647822,0.184478038,0.220936651
8008,33.53311306,-42.3505235,19.5242923,9.637281936,9.919458812,0.200030217,0.215268454
8008.5,35.25265311,-47.78024649,19.19147798,10.01989707,11.5140716,0.21112756,0.210565596
8009,36.17542131,-50.47720227,18.58014014,10.27985909,12.95757273,0.214623827,0.203688672
8009.5,36.46547209,-51.01608609,17.96656772,10.55442303,13.97621069,0.210513924,0.197687483
8010,36.29094372,-50.99263157,17.58559352,10.86252432,14.53844628,0.201604283,0.193039623
8010.5,35.77134814,-51.18425961,18.1323606,11.10969348,14.92247314,0.191458526,0.187948428
8011,34.90441958,-51.49391752,20.62104072,11.19021131,15.15821573,0.18425765,0.182180014
8011.5,33.70897074,-51.78199441,23.98472749,11.04854574,15.25419902,0.181042546,0.178357322
8012,33.02567353,-51.91447286,24.91379004,10.77499434,15.26753878,0.175218953,0.178496481
8012.5,34.23531127,-51.77604606,23.44046836,10.48157662,15.3458665,0.176911626,0.181371188
8013,36.17730236,-51.25531494,20.97114376,10.25017568,15.4034338,0.180907408,0.185032914
8013.5,37.47778239,-50.24104146,18.52964552,10.1200332,15.31703912,0.179758924,0.188497685
8014,40.25536333,-48.70173172,16.60363917,10.11282284,15.00520246,0.175347785,0.192378855
8014.5,42.82173579,-46.81358609,15.32044973,10.13430963,14.64706858,0.172003008,0.197187929
8015,42.28458499,-44.74579195,14.6491886,10.03690178,14.16809679,0.170242226,0.2025319
8015.5,39.90338094,-42.60617127,14.60325245,9.787378826,13.20406092,0.169758368,0.207814856
8016,38.30354204,-40.72788136,15.11293555,9.435979853,11.82630582,0.170159854,0.212440882
8016.5,40.71230208,-40.26442129,15.64009197,8.852295114,10.5866351,0.168473675,0.215833967
8017,40.98192152,-41.52097744,15.51108888,7.847949496,9.647834152,0.163272004,0.217905503
8017.5,44.17297044,-40.28663524,14.54314369,6.574049956,8.83983906,0.157318636,0.219071382
8018,71.12782294,-32.42658905,13.02817926,5.645666385,8.032265231,0.150496424,0.21977082
8018.5,88.12379769,-27.1201545,10.91793966,5.245474773,7.231429534,0.137810282,0.220571247
8019,89.05262486,-26.22622598,8.004837911,5.070424212,6.517117765,0.120846645,0.222832753
8019.5,86.1502083,-25.74643397,5.959153945,4.887249031,5.941616193,0.110145483,0.228217997
8020,87.30991847,-23.28937484,5.987567436,4.678444042,5.514207571,0.106233223,0.238045408
8020.5,89.11107047,-21.05340101,6.332133583,4.474687003,5.211034244,0.10672877,0.249749374
8021,88.93448155,-20.14086956,6.373412097,4.305797107,5.013836229,0.108734828,0.258316418
8021.5,88.29673381,-20.04838974,6.279027485,4.223656043,4.902145674,0.109804451,0.26011194
8022,89.0767547,-19.97089908,6.190895212,4.290530066,4.83416105,0.109062272,0.258393865
8022.5,92.54714472,-18.59951344,6.061994721,4.57231201,4.796668548,0.106095069,0.257399436
8023,93.72925978,-15.43409688,5.800340828,4.655131992,4.783749482,0.101447359,0.258261066
8023.5,92.2774506,-12.08988706,5.592809741,4.494813866,4.828768503,0.096115073,0.261162122
8024,91.50605296,-9.548103897,5.791609889,4.498301081,4.904975945,0.091096124,0.264143374
8024.5,92.61325615,-8.082602787,5.840924252,4.635633943,4.929786288,0.087167543,0.266204626
8025,94.68167917,-7.505534954,5.855261523,4.815709981,4.879320506,0.084567815,0.26691109
8025.5,96.00378659,-7.28645385,5.818301435,4.943860441,4.830991904,0.083454895,0.265901271
8026,96.16560015,-6.99437593,5.704309231,4.985238265,4.806544464,0.083973145,0.263409981
8026.5,95.15430275,-7.113790018,5.576811921,4.946964228,4.79042568,0.08601578,0.259962518
8027,93.58297746,-7.972852797,5.510763713,4.844439336,4.763859979,0.089254924,0.256086758
8027.5,91.09370197,-9.491262044,5.519262876,4.71729631,4.70185383,0.093454634,0.25231986
8028,86.21840476,-11.48440148,5.492852157,4.610272679,4.61174086,0.102677425,0.249206065
8028.5,81.11894845,-13.68646537,5.437896973,4.558712422,4.548869323,0.117413447,0.24728979
8029,78.02910462,-15.56543753,5.449850092,4.543316463,4.526490156,0.127745326,0.24699406
8029.5,77.34628545,-15.94118791,5.58143899,4.516523836,4.533655758,0.128124095,0.2482355
8030,79.06831732,-13.98230356,5.759222661,4.464930312,4.559827601,0.11665921,0.250799565
8030.5,82.64610625,-10.44318126,5.89282065,4.448340973,4.594574593,0.096793772,0.254561721
8031,87.38865638,-6.351534152,5.9541855,4.526702942,4.62919852,0.078119743,0.259565496
8031.5,91.72961047,-2.582305452,5.938313844,4.66016359,4.662528452,0.065462509,0.265872814
8032,94.18704931,0.259409895,5.843178021,4.739826928,4.695306061,0.061372079,0.273545552
8032.5,94.48332144,2.065441791,5.6771022,4.697350293,4.728295087,0.060370122,0.282629874
8033,93.70588443,2.951551502,5.468392081,4.583337078,4.762281071,0.053609083,0.293133607
8033.5,97.9175698,3.214634141,5.250849213,4.464883115,4.798072354,0.041717322,0.305058844
8034,103.4870133,3.192619546,5.076457894,4.393399026,4.834956006,0.033414569,0.317603052
8034.5,104.2949228,3.378555531,4.997838274,4.379825275,4.856827926,0.02812767,0.326446158
8035,107.5422343,3.734672482,5.062010093,4.427891256,4.838665006,0.021992532,0.326839272
8035.5,110.7560718,3.711253282,5.277234226,4.542041283,4.759071727,0.020213318,0.319777276
8036,106.5793334,2.743471306,5.605454952,4.693588255,4.644303074,0.024232499,0.309760951
8036.5,103.8045487,0.839851704,5.925038139,4.819179881,4.556261545,0.033726648,0.30118997
8037,98.46717863,-0.585662748,6.077996723,4.867202849,4.55390957,0.047972423,0.295450151
8037.5,92.81709361,-1.074253925,5.99954989,4.852304409,4.693417318,0.063546347,0.291150397
8038,90.80015658,-1.220302551,5.783612153,4.80595978,4.879446279,0.076764977,0.286795914
8038.5,90.63438625,-1.654729188,5.563090848,4.759671131,4.877923693,0.087426375,0.280891906
8039,89.96781255,-2.951850481,5.467025034,4.742302293,4.731674863,0.095924356,0.272139623
8039.5,82.00790893,-4.808396737,5.569695407,4.760155579,4.575104848,0.101936694,0.262599995
8040,77.59853362,-6.23104753,5.722202623,4.747613345,4.446187388,0.104740276,0.256663898
8040.5,79.9990504,-6.590258001,5.742447279,4.564455609,4.330376992,0.101960444,0.254739982
8041,83.27074829,-6.359323999,5.595392866,4.220448205,4.214057455,0.093170984,0.255232716
8041.5,84.48134711,-7.429250498,5.29733995,3.998499837,4.086539272,0.08608334,0.257233975
8042,84.62035679,-10.73786364,5.008033819,3.925994162,3.960719032,0.088500001,0.262232171
8042.5,84.54123731,-14.20940644,4.974983256,3.875487196,3.865036109,0.097491467,0.270346545
8043,83.74148349,-18.5723041,5.287854753,3.831317388,3.814879845,0.105571252,0.277864272
8043.5,81.43112993,-22.68288103,5.797242885,3.803708039,3.78976799,0.10787636,0.280721871
8044,77.06441527,-25.45499043,6.280517026,3.795379873,3.763246216,0.107743882,0.277550904
8044.5,71.13921705,-26.77730683,6.421227675,3.801782918,3.720330677,0.109002161,0.270594523
8045,66.45730883,-24.27454851,6.058112799,3.818209443,3.7005171,0.107795556,0.262976328
8045.5,65.2423863,-15.87935686,5.398562103,3.840700291,3.751736554,0.099755523,0.257840441
8046,69.1955334,-11.88882955,4.818801502,3.867893212,3.839913242,0.091481496,0.257156062
