Depth,GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8046.5,77.28392884,-11.92747234,4.779146098,3.899014331,3.879550268,0.092288991,0.257957485
8047,82.11787779,-11.96148826,5.512617516,3.933275806,3.808637597,0.108780425,0.255983565
8047.5,82.06405245,-14.7207441,6.508488841,3.961311003,3.717540903,0.129965192,0.247495698
8048,80.80916871,-23.57342881,7.696445998,3.932951279,3.739188371,0.141289,0.232459308
8048.5,66.10634455,-29.93028449,10.99748861,3.804831669,3.865831399,0.141949725,0.212530687
8049,42.88208739,-35.49442131,16.16007401,3.594178557,3.879216038,0.134577696,0.19090332
8049.5,31.05708087,-41.31436188,17.66927632,3.331875171,3.553585702,0.122234699,0.17204609
8050,37.15649014,-45.50486771,16.10826303,3.040890543,2.946800959,0.110916787,0.160466817
8050.5,30.37089741,-48.18152498,17.84419179,2.713845245,2.444246511,0.107841792,0.159584056
8051,51.65810476,-52.43990635,14.7339362,2.344138319,2.119234508,0.120187382,0.168355255
8051.5,61.9146551,-60.3772313,4.026046863,1.9822032,1.904572579,0.147118859,0.18455379
8052,37.34955956,-67.707415,2.100101166,1.75493092,1.758494004,0.172302138,0.201358815
8052.5,31.81367764,-72.48229309,3.641854213,1.63289299,1.657634498,0.189106807,0.21030066
8053,37.039327,-77.73074214,26.22312966,1.57587605,1.586203352,0.196067839,0.213091092
8053.5,43.20866978,-81.71630165,150.3276878,1.556825658,1.53203552,0.195491028,0.212310656
8054,43.76882429,-82.58178597,28.46434727,1.556173291,1.485299484,0.193151781,0.209457273
8054.5,40.51645864,-83.5175181,0.427246217,1.560121967,1.440859242,0.192705593,0.205210102
8055,36.56342898,-84.11891448,0.412492511,1.556706629,1.396532462,0.19357093,0.200407464
8055.5,34.12823245,-84.38816419,2.795154995,1.545007362,1.350799267,0.194937136,0.196877383
8056,32.71942332,-84.71829498,10.0280903,1.529466571,1.304949732,0.196962824,0.196682325
8056.5,31.78796366,-85.37379326,7.842269772,1.506805856,1.261280582,0.2000503,0.200495145
8057,31.18767788,-86.30246011,6.24456871,1.467324756,1.221788794,0.20440628,0.207033231
8057.5,30.78575951,-87.37556249,6.266213521,1.40498069,1.187782593,0.209879504,0.213194109
8058,30.45053272,-88.3602871,6.802834971,1.339310734,1.159743089,0.216280271,0.215683945
8058.5,30.09936721,-89.02373307,7.018919272,1.296939954,1.138083927,0.222996251,0.212838808
8059,29.71645817,-89.34336862,6.971527917,1.277841748,1.123236368,0.228107997,0.208035742
8059.5,29.29270304,-89.42166461,7.043189268,1.272511667,1.115349004,0.229484146,0.205102622
8060,28.91783676,-89.36274702,7.241907236,1.272300254,1.114356201,0.227039246,0.204328852
8060.5,28.8263984,-89.27113797,7.469620407,1.272519786,1.120306876,0.22367001,0.20453179
8061,29.22527828,-89.25206512,7.632037384,1.274148122,1.133378035,0.221709761,0.20475301
8061.5,29.92911073,-89.41068772,7.725533928,1.277849339,1.151993289,0.221077206,0.204697042
8062,30.55139636,-89.77237672,7.76784307,1.283904157,1.169276683,0.221235167,0.204199862
8062.5,30.86956289,-90.14971941,7.67931311,1.292607553,1.180445068,0.221574242,0.203602047
8063,30.72952454,-90.32021636,7.470130515,1.304173787,1.187412335,0.22138531,0.203918124
8063.5,30.14482903,-90.06221637,7.308804832,1.318412906,1.19301907,0.219935423,0.205934191
8064,30.28502003,-89.3396274,7.335408518,1.335032341,1.200179057,0.216292794,0.207272956
8064.5,31.4259972,-88.53321435,7.507429314,1.35470483,1.211302386,0.20976488,0.20430798
8065,32.15756844,-88.04869564,7.717926448,1.380570553,1.225058459,0.202006877,0.198190258
8065.5,32.41937532,-87.81115649,7.895687814,1.412554702,1.238504149,0.195591943,0.191916139
8066,32.37840723,-87.43623005,7.976706055,1.443438152,1.250851367,0.193081259,0.188263601
8066.5,32.06148979,-87.03740531,7.915629865,1.465223252,1.270332859,0.195136848,0.1876739
8067,31.19396969,-86.9655901,7.80183174,1.487586593,1.308060176,0.198622271,0.189189807
8067.5,29.92999083,-87.23075899,7.705635142,1.541939116,1.375840339,0.200679141,0.191830281
8068,28.74251341,-87.50750933,7.628606384,1.640490828,1.466843771,0.20165611,0.194511338
8068.5,28.08411025,-87.69556138,7.570076242,1.746139763,1.552615914,0.202781992,0.196051776
8069,28.03247692,-87.74002123,7.529522806,1.828711512,1.611390908,0.205266468,0.195293344
8069.5,28.38479696,-87.59704737,7.512726204,1.929134582,1.639909816,0.209212608,0.192556797
8070,28.93148929,-87.3390056,7.54269601,2.047145876,1.641201052,0.213032423,0.190385431
8070.5,29.46297278,-87.10624941,7.646438493,2.109696998,1.63851135,0.214995244,0.191212962
8071,29.78456144,-86.95348953,7.841544378,2.057342759,1.657664831,0.213370404,0.193582366
8071.5,29.848041,-86.80445336,8.093946377,1.933844709,1.663233928,0.206978357,0.194785346
8072,29.68839651,-86.57201145,8.350963426,1.8053016,1.623476179,0.198714784,0.194882903
8072.5,29.34753636,-86.1777005,8.553258519,1.710294759,1.567615657,0.193302716,0.194242195
8073,28.92998996,-85.56621458,8.64217351,1.643966613,1.513222401,0.194855782,0.193230383
8073.5,28.57770369,-84.86335415,8.647831394,1.597300605,1.462865864,0.199648895,0.192194401
8074,28.43312624,-84.39962955,8.674279149,1.564938741,1.418236592,0.201905667,0.19129621
8074.5,28.63441446,-84.24013292,8.825970189,1.550936574,1.3836755,0.201821822,0.190598605
8075,29.23583472,-84.32943656,9.091141963,1.559367556,1.371558163,0.200228955,0.190163439
8075.5,30.21525381,-84.60485871,9.306498998,1.573843477,1.379762264,0.197957772,0.190052563
8076,31.53688532,-84.76088985,9.358460566,1.572958281,1.398463112,0.195646961,0.19022256
8076.5,32.95129759,-84.30191818,9.28053463,1.565363189,1.419314799,0.193505039,0.189718609
8077,34.01378655,-83.45106039,9.128525675,1.570163694,1.441563627,0.191682045,0.18711872
8077.5,34.31300774,-82.72237264,8.957687668,1.604628908,1.466898979,0.190328019,0.182609247
8078,34.20983781,-82.00600427,8.818445713,1.667252615,1.497298847,0.189552327,0.181657781
8078.5,34.66635602,-79.9536386,8.724089973,1.745806105,1.53541203,0.189001083,0.185035765
8079,35.56234641,-76.77293827,8.654181538,1.826009891,1.584023687,0.188026014,0.189759571
8079.5,36.25008002,-73.9207994,8.591415846,1.895529032,1.641815672,0.186037255,0.19323593
8080,36.60011819,-71.87619874,8.561081845,1.960607495,1.703635586,0.183885326,0.194934991
8080.5,36.56602052,-71.11297521,8.61595254,2.034681931,1.770928067,0.183854911,0.194921009
8081,36.04384628,-72.10496769,9.026928874,2.1472134,1.869823002,0.186905505,0.193258292
8081.5,34.7793955,-73.64305,11.3668322,2.344177544,2.014849898,0.185181406,0.190011148
8082,32.57996184,-66.48576673,16.13319719,2.565017684,2.102668933,0.177261783,0.1855445
8082.5,31.41013702,-56.57036315,22.41542421,2.644349927,2.158913922,0.165857376,0.181550778
8083,34.63557198,-55.46656306,25.2555947,2.612435174,2.253035943,0.153829674,0.180088736
8083.5,41.77163985,-52.6399826,17.97358288,2.60495936,2.274919976,0.144146162,0.183205449
8084,51.21373484,-45.04246775,9.234860011,2.592994296,2.224216985,0.139776736,0.192312177
8084.5,60.45170548,-39.05941324,20.38430836,2.484278861,2.125117246,0.142706859,0.207075081
8085,65.86856402,-38.91783088,2.759014354,2.269081161,2.036610181,0.151202818,0.223694793
8085.5,63.79206047,-45.04539429,5.693029315,2.045611273,1.964607365,0.162652743,0.237470385
8086,53.90115085,-49.99063765,5.163195934,1.885492966,1.879166331,0.174716765,0.244315986
8086.5,43.29376295,-53.1041276,6.351434071,1.788261714,1.767464947,0.186897455,0.245144154
8087,36.7972761,-54.36001904,6.001893139,1.731981533,1.687805917,0.198109468,0.243298051
8087.5,38.22468468,-53.39061096,5.631179294,1.701640556,1.644669346,0.202289667,0.242137028
8088,49.1505005,-50.21758207,5.106963736,1.693324277,1.615500584,0.198300394,0.244723457
8088.5,58.54722001,-45.02530698,4.387740665,1.706836691,1.582385275,0.189514275,0.25093706
8089,67.65011233,-38.88758839,3.83381254,1.739492382,1.550784081,0.179407307,0.258725439
8089.5,73.97649187,-35.98542123,3.776542144,1.778656027,1.538008672,0.17159769,0.265920314
8090,70.57517781,-39.02424186,4.185910278,1.810584954,1.55280478,0.169606622,0.269949964
8090.5,63.34272685,-44.16899769,5.05300831,1.830877191,1.585488466,0.173796361,0.268415457
8091,57.54110957,-49.48570663,5.968291503,1.838682699,1.623608224,0.180779081,0.262072749
8091.5,43.22857136,-53.97639626,6.449346657,1.833665979,1.655233918,0.186887631,0.253628128
8092,40.90125802,-56.62439104,6.824191175,1.824360012,1.68175282,0.191726514,0.245964875
8092.5,40.31209286,-56.3919639,6.817198238,1.829483575,1.712444231,0.195870705,0.24260351
8093,41.58337944,-52.84173918,5.987466628,1.868818109,1.757387044,0.196061502,0.247166197
8093.5,52.33875723,-50.15198534,5.145760207,1.961358209,1.822161387,0.183497668,0.255966932
8094,60.97917167,-47.14296845,4.716075484,2.083391864,1.887093421,0.166425736,0.260317596
8094.5,68.80672049,-23.28284083,4.448267656,2.172503811,1.922378371,0.156413571,0.263271588
8095,74.87814581,-26.58425996,4.175692691,2.178035147,1.902791409,0.152138666,0.266695077
8095.5,77.13107836,-29.7807048,4.05695331,2.108266406,1.844921915,0.149634583,0.270354483
8096,73.65695724,-29.04088794,4.161852541,1.992676449,1.777309032,0.149881486,0.273932946
8096.5,68.77252462,-31.18717702,4.370021554,1.8707541,1.706050325,0.160457437,0.276873357
8097,66.18446956,-32.94511596,4.527826513,1.772835518,1.632088458,0.174234881,0.278261817
8097.5,65.04374851,-33.07501729,4.467254154,1.698479477,1.567261462,0.178087729,0.277548858
8098,64.09581856,-33.29412882,4.568904907,1.634750922,1.526812643,0.178530064,0.275429214
8098.5,62.44000214,-34.53666094,4.583982587,1.570611374,1.510005969,0.180882593,0.272842993
8099,60.28810846,-34.52211461,4.126350322,1.505554384,1.502644131,0.183916357,0.270517765
8099.5,59.19084981,-33.02099999,3.849302771,1.539284678,1.493012574,0.186214524,0.268066694
8100,60.39655405,-32.857837,4.301451027,1.650951093,1.495604813,0.187523894,0.264738951
8100.5,61.55995102,-35.64268755,5.482438775,1.740653817,1.537672949,0.187826329,0.259788693
8101,59.36340121,-39.21234317,6.372053353,1.875815014,1.61749955,0.187103691,0.252896867
8101.5,52.91054293,-41.4044978,7.016854869,2.02148203,1.718566098,0.185296437,0.24448251
8102,43.59825132,-42.80666114,7.577539282,2.10913342,1.820607926,0.181537094,0.235039892
8102.5,39.02146116,-42.09415473,8.015530094,2.263163722,1.902457873,0.174223146,0.22608875
8103,42.94940405,-36.40563716,7.591323983,2.485913422,1.980631716,0.162361931,0.221824512
8103.5,52.04210765,-30.70310815,6.145792737,2.684085797,2.099307892,0.149275614,0.224074705
8104,61.86789284,-25.93976447,5.514841729,2.810024139,2.306540498,0.139743121,0.229612738
8104.5,64.2556254,-20.22554239,5.739787714,2.842824095,2.522702409,0.133170559,0.233939766
8105,54.72481933,-15.21672407,4.804566838,2.773737512,2.579827266,0.124687013,0.235082938
8105.5,46.26838807,-11.32727524,4.606298445,2.640203268,2.530247066,0.113325287,0.237607412
8106,55.60754014,-8.34438504,4.416014475,2.498350984,2.478545366,0.104248212,0.246907038
8106.5,96.37780283,-6.063604715,3.801818349,2.390551894,2.436079922,0.099200583,0.262078733
8107,121.2050091,-4.347374473,2.955528605,2.326792367,2.385552184,0.096253357,0.276434168
8107.5,120.0809766,-3.094541719,2.693978759,2.308389732,2.326075273,0.093387799,0.288916086
8108,110.5789122,-3.170573035,2.914207381,2.327754644,2.255291132,0.090886648,0.299756695
8108.5,103.8862479,-6.922197399,3.317974722,2.339003973,2.14086285,0.092288588,0.309124701
8109,98.70698841,-13.19226119,3.695461106,2.287415948,1.958906947,0.101378917,0.314648542
8109.5,92.29946031,-20.43770066,4.065312589,2.141845137,1.790993228,0.120960454,0.310614732
8110,81.94679339,-28.71600278,4.566199227,1.966603518,1.693892484,0.144790223,0.291173641
8110.5,67.50651234,-37.82294853,5.095106,1.826203655,1.640248721,0.163537504,0.263996801
8111,53.62144889,-47.29632841,5.643163294,1.720214493,1.600931191,0.177833688,0.248421231
8111.5,44.8847743,-56.666191,6.160590902,1.636773092,1.550971919,0.191475244,0.241800215
8112,40.78345546,-65.43541208,6.461755242,1.565407484,1.480882538,0.203448679,0.239355489
8112.5,38.11503342,-72.41806939,6.422037377,1.494643657,1.39676411,0.209046796,0.236695211
8113,34.96088534,-75.99667195,6.21181862,1.415820203,1.305541056,0.207626745,0.232902249
8113.5,34.40827531,-76.92820398,6.015073762,1.339205097,1.219608932,0.205413646,0.228896932
8114,36.75203014,-77.09811078,5.740085368,1.284944307,1.153130863,0.207316245,0.225616282
8114.5,38.05656865,-76.34394497,5.256630513,1.258256948,1.115853692,0.211415994,0.223969083
8115,37.36535672,-74.72196652,4.883031012,1.248931467,1.102852286,0.214331526,0.2245416
8115.5,36.16038409,-73.27490861,4.827769826,1.246972507,1.103569269,0.214268664,0.227377269
8116,35.90813801,-71.18459691,4.800046257,1.246028558,1.108208598,0.211981802,0.230442643
8116.5,36.79610457,-69.5496489,4.764046168,1.246232358,1.107714456,0.208455237,0.231564481
8117,37.95906919,-69.05260128,5.027985496,1.248470788,1.101456176,0.204673268,0.230856466
8117.5,38.81647039,-68.31350725,5.352227461,1.250649555,1.094357646,0.20161124,0.228937686
8118,39.29366938,-67.67701286,5.151750719,1.2419616,1.090454829,0.19974209,0.226421709
8118.5,39.36140588,-68.33388333,4.812333049,1.2147054,1.087699654,0.198883631,0.223728195
8119,38.93336505,-70.1099987,4.750356327,1.170615993,1.081576501,0.19922673,0.221036141
8119.5,37.64880479,-72.26850339,4.914116526,1.131245681,1.068986253,0.201076278,0.21850694
8120,35.07379001,-74.29294694,5.191164501,1.111595576,1.060995695,0.204737168,0.215989513
8120.5,31.68588709,-76.22073571,5.46161848,1.112609993,1.062655442,0.209576464,0.212727427
8121,29.63294794,-77.88969143,5.604218697,1.132655925,1.061919571,0.210197756,0.208092241
8121.5,31.10103595,-76.64653739,5.438952723,1.167089989,1.067031575,0.205015767,0.205281775
8122,37.64183237,-68.61041754,4.727105635,1.254342574,1.124158803,0.197415141,0.210961698
8122.5,48.81973283,-59.58301658,4.411298051,1.405065996,1.196993889,0.189571815,0.228351966
8123,55.08004009,-51.10377197,4.456126625,1.503023285,1.221284393,0.181174958,0.24037503
8123.5,57.06119902,-45.150308,4.068242639,1.542646773,1.312502518,0.171729489,0.245276662
8124,58.74321378,-42.70095728,4.140617193,1.698131897,1.45620668,0.161955751,0.249728083
8124.5,62.71861376,-40.48261922,4.538640637,1.985918562,1.611044344,0.153567735,0.255067424
8125,67.89749195,-38.09994897,4.443300048,2.104297877,1.743375191,0.14830858,0.258729913
8125.5,72.44191591,-37.76236076,4.257715541,2.151369363,1.851818609,0.147921424,0.258968021
8126,73.84309557,-39.80044003,4.847241302,2.176502709,1.942700402,0.153373419,0.255403388
8126.5,70.69377203,-42.54773674,5.430500694,2.193536284,2.027980926,0.156417465,0.247774798
8127,65.38316747,-44.98488189,5.440647881,2.216922819,2.108871826,0.159543624,0.236877763
8127.5,60.57888913,-48.27819603,5.685665662,2.26118394,2.176698469,0.171275893,0.226023242
8128,55.59344267,-50.87926087,6.106169528,2.342196944,2.239682117,0.176732416,0.21878528
8128.5,54.7632384,-48.51244789,6.217395603,2.468942337,2.31845323,0.170304065,0.216107575
8129,69.42635324,-46.26124552,6.028490157,2.623738893,2.435133995,0.151665613,0.216158408
8129.5,87.10566874,-41.80096171,5.749394008,2.779292847,2.582776455,0.127334664,0.218155027
8130,99.78757764,-34.32796474,5.567066285,2.904999974,2.727945491,0.116019828,0.223834732
8130.5,105.4829757,-31.97345435,5.529308597,3.003948795,2.854635005,0.119308932,0.233881316
8131,103.2203899,-31.92080722,5.54585193,3.105220876,2.954163555,0.123266793,0.242740039
8131.5,96.93453072,-31.73335833,5.525179755,3.228231492,3.08675068,0.124849359,0.247606802
8132,91.25915735,-30.45220168,5.433031185,3.359675694,3.367713361,0.123113681,0.249536973
8132.5,89.39804453,-27.6106833,5.281731328,3.478614457,3.559207054,0.118045877,0.249701352
8133,90.6011105,-23.80546434,5.090791202,3.56768896,3.622469206,0.110860122,0.249270736
8133.5,90.15719002,-19.68563352,4.92085252,3.631475032,3.682258411,0.102854943,0.249368138
8134,89.28161717,-15.7617908,4.843850822,3.680809071,3.773934191,0.095344958,0.250339939
8134.5,90.89471796,-12.37764981,4.867288042,3.727489487,3.887976115,0.089677316,0.25190152
8135,91.84779968,-9.861397433,4.944660087,3.784000905,4.011864809,0.08713538,0.253749994
8135.5,90.43402198,-8.944836595,5.031780303,3.863634683,4.127968217,0.087634668,0.255582472
8136,90.56049623,-9.830056914,5.099138893,3.969297163,4.2173601,0.08982056,0.257096069
8136.5,92.17417833,-10.25937558,5.120066833,4.065663281,4.269055761,0.092290291,0.257987895
8137,92.36287411,-10.33378893,5.068409663,4.108999968,4.277583145,0.093641099,0.257955065
8137.5,91.27835257,-10.32833277,4.925158186,4.102790797,4.248728552,0.092550051,0.256711221
8138,90.75603631,-10.09703295,4.730459484,4.092881178,4.19724263,0.089237012,0.254560416
8138.5,91.76140429,-9.57027774,4.560937816,4.116451193,4.122632941,0.085317406,0.252544734
8139,92.48322389,-9.330516968,4.48438895,4.116353392,4.003361718,0.082456943,0.251747883
8139.5,91.59378644,-10.83395288,4.567417503,3.985682508,3.828309729,0.082400613,0.252636997
8140,90.01186595,-14.47640786,4.856533853,3.640158351,3.642254728,0.087295902,0.254468713
8140.5,88.95157805,-20.37559161,5.329007576,3.197345567,3.502550705,0.099067903,0.256233746
8141,89.12676937,-29.03083106,5.947767429,2.937784615,3.42495941,0.115290974,0.256388187
8141.5,90.01113606,-38.6705326,6.636820235,2.829293668,3.370658348,0.131159874,0.253269068
8142,90.89020567,-45.38854142,7.209964396,2.793680243,3.300719683,0.145827597,0.24787627
8142.5,91.32638879,-47.27056556,7.420946318,2.786640849,3.214837985,0.159061522,0.246107071
8143,91.57977222,-46.50740421,7.19345508,2.820569624,3.150265896,0.165912393,0.24976663
8143.5,92.01861623,-44.44701584,6.64870057,2.919224456,3.138640646,0.162031879,0.255377556
8144,93.00132584,-41.66250052,5.998917409,3.100542904,3.189855422,0.148730976,0.260222051
8144.5,94.49538916,-36.32267344,5.445691488,3.264406478,3.310872003,0.134757955,0.264057199
8145,95.95592267,-27.92962535,5.086777682,3.384318739,3.501066773,0.125674807,0.266998232
8145.5,96.81391899,-20.82251679,4.891084128,3.528830954,3.724753292,0.119906643,0.269160382
8146,96.89237712,-16.04783055,4.824060538,3.725277968,3.930248967,0.115492749,0.270658879
8146.5,96.51195986,-12.85003307,4.861975498,3.956280919,4.070096933,0.110472407,0.271606948
8147,95.69990019,-10.66067626,4.968991799,4.198139723,4.158190888,0.102975297,0.272098943
8147.5,93.64149261,-9.077003772,5.096100586,4.422333953,4.229911791,0.093297,0.272218882
8148,90.61252436,-7.707330919,5.189846312,4.599075215,4.323995912,0.083948344,0.272050679
8148.5,88.80548522,-6.301880715,5.203239511,4.69665389,4.462115922,0.077515424,0.271678247
8149,89.15373482,-4.760157214,5.151298521,4.692323119,4.624002196,0.075149545,0.271185498
8149.5,91.01974726,-3.11233236,5.073739827,4.601863907,4.780793643,0.075814882,0.27064856
8150,93.62418266,-1.538667283,5.007190803,4.45380154,4.899704894,0.078291701,0.269805695